type,sequence
train,38-57-38-39-57-65-66
test,1-1-55-55-5-3-11-11-6-5-11-11-6-4
train,5-11-11-6-8-8-5-11-11-6-55-55-55-55-3-4
train,8-8-14-8-3-8-5-11-11-11-11-6-4
train,3-5-6-4
train,57-65-38-39-38-38-39-38-39-66
train,38-57-38-39-57-65-66
validation,1-1-14-3-5-11-11-6-4
train,3-4
train,3-5-11-11-6-4
test,44-44-8-8-3-8-8-4
train,5-11-3-11-11-11-6-4
train,65-57-38-39-38-38-39-66
train,38-57-38-39-65-57-66
train,14-1-1-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-5-11-11-11-11-6-3-5-11-11-6-4
train,3-4
validation,5-11-3-11-6-5-11-11-6-5-11-11-11-11-6-5-11-11-11-11-6-5-4
train,11-11-11-11-11-3-11-6-36-5-11-11-6-4
train,40-40-41-48-48-22-22-7-7-7-7-7-7-3-5-6-11-11-5-11-11-6-4
train,3-5-11-11-6-4
validation,3-4
train,3-5-11-11-11-11-6-5-11-11-6-4
train,5-11-3-11-6-4
train,3-5-11-11-6-4
train,5-6-11-11-3-4
train,14-14-5-11-11-3-11-11-11-11-6-4
train,3-4
train,3-4
validation,40-40-41-22-22-40-40-41-7-23-3-5-11-11-11-11-6-4
train,5-11-3-11-6-5-6-4
validation,3-4
test,5-11-3-11-11-11-6-5-11-11-6-4
train,65-57-66
train,1-65-57-38-39-38-38-39-38-38-39-38-38-39-38-38-39-38-38-39-38-38-39-38-38-39-38-38-39-38-38-39-38-38-39-66
train,38-57-38-39-57-65-66
train,5-11-11-11-11-11-11-6-5-6-5-6-14-1-14-14-5-6-5-3-4
validation,6-5-11-11-11-11-6-5-3-11-11-6-4
train,5-11-11-11-11-11-11-6-5-11-11-6-5-11-11-11-11-6-5-11-11-6-5-11-11-11-11-6-5-11-11-6-3-5-11-11-11-11-11-11-6-4
train,5-6-5-11-11-11-11-6-5-11-3-11-4
train,6-28-29-34-28-14-5-3-11-11-11-11-6-4
train,14-5-11-11-3-11-11-11-11-11-11-6-4
validation,5-11-11-11-11-6-3-4
train,5-11-11-6-5-11-11-6-5-11-11-6-5-6-5-11-11-11-11-6-3-4
train,3-4
train,3-4
validation,5-11-3-4
train,11-3-11-11-4
train,6-9-27-27-27-27-65-57-66
train,1-1-1-1-1-38-39-38-39-57-65-38-39-38-38-39-38-39-38-38-39-66
train,1-5-1-11-11-6-3-5-11-11-11-4
test,11-6-3-4
validation,3-4
train,3-4
train,3-4
train,57-65-38-39-38-38-39-38-38-39-66
train,38-57-38-39-38-57-38-39-38-39-5-11-11-6-3-4
train,27-27-9-1-1-1-5-3-6-4
train,14-5-3-6-4
train,65-57-38-39-38-38-39-38-38-39-38-38-39-38-38-39-38-38-39-38-38-39-38-38-39-66
train,38-57-38-39-65-57-66
train,0-2-0-2-1-0-2-1-5-6-5-6-5-6-5-6-5-6-5-3-6-4
train,5-3-6-4
validation,16-9-27-16-27-9-9-14-5-3-6-4
train,27-27-3-4
test,65-57-38-39-38-38-39-38-38-39-66
train,38-57-38-39-65-57-66
validation,5-8-6-8-5-6-1-1-3-5-6-8-8-8-8-8-8-5-6-8-8-8-8-8-8-5-6-4
train,57-65-38-39-38-38-39-38-39-38-38-39-38-38-39-66
train,38-57-38-39-65-57-66
train,1-1-1-57-65-38-39-38-39-38-38-39-38-38-39-38-38-39-66
train,38-57-38-39-57-65-66
train,1-1-5-8-8-6-5-6-8-5-8-6-5-3-6-4
train,3-5-6-4
test,14-3-5-6-4
train,57-38-65-38-38-66
train,38-39-1-1-5-3-6-4
train,1-1-65-57-38-39-66
train,38-57-38-39-65-57-38-39-38-38-39-66
train,1-1-3-5-6-4
train,14-1-5-3-6-4
train,65-57-38-39-66
validation,38-57-38-39-57-65-38-66
train,1-1-8-8-8-8-8-8-5-3-6-4
train,27-9-14-5-3-6-4
train,57-65-38-39-38-38-39-38-38-39-66
train,38-57-38-39-65-57-66
train,1-1-3-5-6-4
test,8-5-8-6-3-5-6-4
train,3-8-8-4
test,14-5-3-6-5-6-4
train,57-65-38-39-38-38-39-38-39-38-38-39-38-38-39-66
train,38-57-38-39-57-65-66
train,8-8-8-1-1-8-8-8-8-8-8-8-8-8-8-8-8-8-8-8-5-6-3-5-6-4
train,3-4
train,5-3-6-4
train,0-2-0-24-25-2-5-3-6-4
train,14-5-3-4
train,3-4
test,3-4
train,6-3-4
train,5-6-5-6-5-6-3-4
validation,5-3-4
train,3-6-4
train,57-65-38-39-38-38-39-38-38-39-38-39-38-38-39-38-38-39-38-38-39-38-38-39-66
test,38-57-38-39-57-65-66
validation,1-1-57-65-38-39-38-38-39-38-38-39-38-38-39-38-38-39-38-38-39-38-38-39-38-38-39-38-38-39-38-38-39-38-38-39-38-38-39-38-39-38-38-39-38-38-39-66
train,38-57-38-39-38-39-65-57-66
validation,1-1-65-57-38-39-38-38-39-38-39-38-38-39-66
train,38-57-38-39-65-57-66
train,5-6-1-1-5-11-3-11-6-4
train,5-11-11-6-5-3-6-4
test,3-5-11-11-6-4
train,57-65-38-39-66
train,1-1-5-6-5-6-5-6-5-11-11-6-5-6-14-14-1-1-5-11-11-6-3-4
train,5-11-11-6-3-4
train,3-4
train,5-11-3-11-6-4
train,3-4
test,5-11-11-6-3-4
validation,9-9-9-3-5-11-11-11-11-6-4
train,5-3-6-4
train,14-5-11-3-11-11-11-6-4
train,3-4
train,9-27-3-4
train,27-3-4
validation,3-4
train,3-4
train,3-4
train,3-4
train,5-11-3-11-6-4
train,5-3-11-11-6-4
train,3-4
train,5-3-11-11-11-11-6-4
train,3-5-11-11-11-11-6-5-11-11-6-4
train,5-11-11-11-3-11-6-4
train,1-1-1-1-57-65-38-39-38-39-38-38-39-38-38-39-66
validation,38-57-38-39-57-65-66
train,1-1-3-5-11-11-11-11-11-11-6-4
validation,5-11-3-11-6-4
train,3-5-11-11-11-11-6-4
train,14-3-5-11-11-11-4
train,11-11-11-6-5-11-3-11-6-4
validation,57-65-38-39-38-38-39-66
train,38-57-38-39-57-65-38-39-38-38-39-66
train,3-4
train,42-42-42-42-9-9-9-5-6-3-4
validation,5-11-3-11-6-4
train,0-2-3-4
train,42-42-27-27-27-27-3-4
train,3-4
validation,3-4
validation,3-4
test,5-11-11-3-11-11-11-11-4
train,6-3-4
train,3-4
validation,5-6-11-11-5-11-3-11-11-11-6-4
validation,8-8-64-8-8-8-3-8-4
train,5-11-11-11-11-11-11-6-3-4
train,14-3-5-11-11-11-11-11-11-11-11-4
train,6-5-11-3-11-11-11-11-11-11-11-11-11-11-11-6-4
train,57-65-38-39-38-38-39-38-38-39-66
train,38-57-38-39-57-65-66
train,27-1-1-3-4
test,14-3-4
train,5-6-5-11-11-6-5-11-11-6-5-11-11-11-11-11-11-6-14-5-11-11-11-11-6-3-5-11-11-6-4
train,3-4
train,3-4
train,3-4
train,5-11-11-11-11-11-3-4
train,11-6-8-8-8-8-8-8-3-4
train,5-11-11-11-11-11-11-6-3-5-6-4
train,27-5-11-11-6-14-5-11-11-6-3-4
train,27-71-57-65-38-39-38-38-39-38-38-39-66
train,38-57-38-39-57-65-66
test,8-1-8-1-8-8-5-11-11-11-11-6-5-6-11-11-5-11-11-6-3-5-11-11-11-11-11-11-6-4
validation,27-5-11-3-11-11-11-6-4
train,27-5-3-4
train,6-5-11-11-11-11-6-3-5-6-4
train,3-4
train,5-11-11-6-3-5-11-4
train,11-11-11-6-3-4
train,14-5-11-11-11-11-6-3-5-11-11-11-11-11-11-11-11-6-4
test,65-57-38-39-38-38-39-38-38-39-66
train,38-57-38-39-57-65-66
train,1-1-3-4
train,3-4
train,5-11-11-6-5-3-11-11-11-11-6-4
train,8-8-3-4
train,8-8-3-5-11-11-6-4
train,5-11-11-6-3-4
train,5-6-14-5-11-11-11-11-6-5-11-11-11-11-6-3-4
train,57-65-38-39-66
train,1-1-1-1-14-3-5-11-11-6-4
validation,5-11-3-11-6-4
train,3-4
train,3-4
train,5-11-3-11-6-4
train,8-8-8-8-8-8-8-3-8-8-8-4
train,8-8-5-11-3-11-6-4
train,5-11-3-11-6-4
validation,5-11-3-11-6-4
train,3-4
train,57-65-66
train,1-1-1-57-65-38-39-66
train,38-57-38-39-38-39-65-57-66
train,1-1-3-4
train,3-4
train,3-4
test,5-3-11-11-11-11-4
train,11-11-6-3-4
train,5-6-3-9-9-9-5-6-5-6-4
train,14-5-3-11-4
validation,11-6-5-3-11-11-6-4
train,8-8-3-4
train,8-8-8-8-8-3-8-4
test,5-11-11-11-11-11-3-11-4
test,6-57-65-38-39-38-38-39-66
train,38-57-38-39-65-57-66
train,9-14-1-1-5-6-3-4
train,27-5-3-4
train,6-5-3-6-4
train,5-3-6-4
train,65-57-38-39-66
train,38-57-38-39-38-39-38-38-39-57-65-66
train,8-8-8-8-5-6-1-1-1-5-3-6-4
train,14-9-9-9-5-3-6-4
train,57-65-38-39-38-38-39-38-38-39-66
train,38-57-38-39-57-65-66
train,5-6-0-24-25-2-0-2-24-25-27-27-1-1-5-6-5-3-27-9-6-4
train,55-55-55-55-5-3-6-4
train,3-4
train,3-4
train,5-3-6-4
train,57-65-38-39-66
train,38-57-38-39-57-65-66
train,6-5-6-5-6-5-6-5-6-1-1-3-5-6-4
train,9-9-9-9-9-9-14-5-3-6-4
train,5-3-6-4
train,5-3-6-4
train,57-65-38-39-66
train,38-57-38-39-57-65-66
train,6-9-5-6-1-1-5-6-9-27-16-9-3-5-6-5-6-4
train,8-8-14-8-3-8-4
train,5-6-14-5-6-3-5-6-4
train,8-3-8-8-8-8-8-8-8-4
train,3-5-6-4
train,3-5-6-4
train,5-6-3-4
train,3-5-6-4
train,14-5-3-6-27-27-4
train,57-65-38-39-38-38-39-38-38-39-38-38-39-38-38-39-38-38-39-66
train,38-57-38-39-57-65-66
train,9-1-57-65-38-39-38-38-39-38-38-39-38-38-39-38-38-39-66
validation,38-57-38-39-57-65-66
train,0-2-0-2-0-2-0-2-0-2-1-16-5-6-8-8-8-8-8-8-5-6-28-5-3-6-4
train,8-8-8-8-3-5-6-5-6-4
validation,14-5-3-6-4
train,16-9-57-65-38-39-38-38-39-66
validation,38-57-38-39-57-65-66
train,22-22-22-40-40-41-22-22-22-22-22-22-40-40-41-40-40-41-5-6-5-6-0-2-0-2-0-2-5-6-1-5-3-6-4
train,8-8-8-8-5-3-6-4
train,14-5-3-6-4
validation,28-43-35-43-65-57-38-39-66
train,38-57-38-39-57-65-66
train,14-1-1-3-5-6-4
test,57-65-38-39-66
test,38-57-38-39-57-65-66
train,22-1-3-4
train,14-5-3-6-4
train,0-2-3-0-2-0-2-0-2-0-2-5-6-4
train,3-4
train,3-5-6-4
train,5-3-6-4
test,57-65-38-39-38-38-39-66
train,38-57-38-39-57-65-66
train,22-0-2-0-24-2-25-0-2-24-25-1-5-3-6-4
test,3-4
train,3-4
train,1-40-40-41-22-22-22-22-22-3-5-6-4
validation,14-3-5-6-5-6-4
train,14-5-3-6-4
train,14-5-3-6-4
train,57-65-38-39-38-38-39-38-38-39-38-38-39-38-38-39-38-38-39-66
train,38-57-38-39-22-22-22-22-22-22-22-7-22-40-40-41-22-22-22-22-22-22-22-22-22-22-22-22-22-22-22-22-22-22-22-22-22-22-22-22-22-57-65-66
train,1-1-3-5-6-5-6-4
train,5-3-6-4
validation,14-5-3-6-4
train,8-8-8-8-8-8-8-8-8-8-5-6-8-8-8-8-3-5-6-4
test,65-57-38-39-38-38-39-38-38-39-38-38-39-66
train,38-57-38-39-7-7-7-7-7-7-7-7-7-7-7-7-57-65-66
train,6-27-16-1-0-2-0-2-5-6-8-8-8-8-8-8-8-8-3-8-8-8-8-8-8-8-8-27-9-4
train,5-6-5-3-6-5-6-9-27-16-4
train,14-5-3-6-4
train,9-16-9-27-9-9-57-65-38-39-38-38-39-38-38-39-38-38-39-66
train,38-57-38-39-38-39-38-39-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-57-65-66
train,5-6-0-2-0-2-0-2-5-6-1-5-6-5-3-6-5-6-27-16-9-4
train,9-27-3-4
train,14-5-3-6-4
validation,57-65-38-39-38-38-39-66
train,38-57-38-39-57-65-66
train,1-8-8-3-5-6-5-6-4
train,3-4
train,3-5-6-4
validation,9-9-3-5-6-4
train,14-5-3-6-4
train,8-8-3-5-6-4
train,57-65-38-39-66
train,38-57-38-39-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-57-65-66
test,6-14-1-5-3-9-6-4
train,57-65-38-39-66
train,38-57-38-3-4
train,38-39-40-40-41-22-7-22-22-40-40-41-7-7-7-57-65-66
train,1-0-2-0-2-5-3-6-4
train,9-9-14-1-1-3-5-4
train,6-8-8-8-8-3-4
train,8-8-8-8-14-3-5-6-4
train,14-5-3-6-4
train,1-65-57-38-39-66
train,38-57-38-39-7-7-7-7-7-7-7-7-7-7-7-7-7-57-65-66
test,0-2-1-5-6-3-5-6-4
train,5-3-6-14-4
train,43-35-28-5-3-4
train,6-14-3-14-5-6-4
train,57-65-38-39-66
train,38-57-38-39-7-57-65-66
train,1-57-65-38-39-66
train,38-57-38-39-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-3-4
train,57-65-66
test,0-2-0-2-0-2-1-5-6-5-6-3-5-6-4
train,14-5-3-9-6-4
train,14-5-3-6-4
train,14-5-3-6-4
train,5-3-6-4
train,65-57-38-39-66
train,38-57-38-39-65-57-66
train,1-1-1-1-8-8-1-1-3-4
train,8-8-5-11-3-11-11-11-6-4
train,3-1-1-1-1-4
train,3-1-1-1-1-1-1-61-8-8-8-4
train,8-8-3-61-8-4
train,3-4
train,5-1-1-11-3-11-6-4
train,3-4
train,3-4
train,1-1-57-65-66
train,1-1-5-3-6-4
train,3-9-9-9-9-9-9-9-9-4
train,14-5-3-6-4
train,5-3-6-4
test,5-3-6-4
test,5-3-6-4
test,5-3-6-4
validation,57-65-38-39-66
train,38-57-38-39-57-65-66
train,1-1-1-5-3-6-4
train,3-5-6-4
train,5-3-6-4
train,14-5-3-36-6-5-6-4
validation,3-4
train,3-4
validation,5-3-6-4
train,57-65-38-39-38-38-39-66
train,38-57-38-39-57-65-66
train,12-12-12-12-0-2-0-2-0-2-12-1-12-12-1-12-12-12-1-8-8-8-8-8-8-44-44-44-44-8-8-44-44-12-12-12-12-12-12-8-8-8-8-8-8-8-8-5-11-11-6-5-11-11-6-3-5-11-11-6-5-11-11-6-4
train,14-5-11-3-11-6-5-11-11-6-42-4
train,42-5-11-3-11-6-5-6-4
validation,57-65-66
train,1-1-1-1-57-65-38-39-38-38-39-38-38-39-66
validation,38-57-38-39-38-57-38-39-38-39-38-38-39-57-65-66
train,14-1-1-3-5-11-11-11-11-6-5-11-11-6-4
train,3-27-27-27-27-27-27-9-5-6-27-5-11-11-11-11-6-4
validation,5-6-65-57-38-39-38-38-39-38-38-39-38-38-39-38-38-39-38-38-39-38-38-39-38-38-39-38-38-39-66
train,38-57-38-39-38-39-38-38-39-38-38-39-38-38-39-38-38-39-38-38-39-38-38-39-65-57-66
test,1-1-14-5-3-6-27-27-5-27-27-27-6-4
validation,36-3-5-6-4
train,5-3-6-4
train,5-3-6-4
train,57-65-38-39-38-38-39-38-38-39-38-38-39-66
train,38-57-38-39-38-39-38-38-39-38-38-39-38-38-39-57-65-66
train,14-1-1-3-5-6-4
train,5-3-6-4
train,5-3-4
train,6-38-57-38-38-39-65-57-38-39-38-38-39-38-38-39-66
train,38-57-38-39-38-39-38-39-38-38-39-38-38-39-38-38-39-38-38-39-38-38-39-38-38-39-57-65-66
train,14-1-1-3-4
train,5-11-3-11-11-11-11-11-11-11-6-4
train,5-11-3-11-11-11-11-11-11-11-6-4
train,65-57-38-39-38-38-39-38-38-39-38-38-39-38-38-39-38-38-39-38-38-39-38-38-39-38-38-39-38-38-39-38-38-39-66
train,38-57-38-39-38-39-38-38-39-57-65-66
train,36-1-1-5-6-5-3-11-11-6-5-6-4
test,3-4
train,5-6-3-5-11-11-6-5-6-11-11-11-11-4
test,3-5-6-4
train,14-5-11-3-11-6-4
train,3-5-6-11-11-5-11-11-11-11-4
train,11-3-11-11-11-4
train,6-37-37-37-37-37-37-37-37-37-37-37-37-37-37-5-6-5-6-37-37-5-6-5-6-37-37-37-37-5-6-37-37-37-37-1-1-1-1-5-11-11-3-11-11-11-11-11-11-6-4
test,14-5-3-6-4
train,14-5-11-3-11-6-4
train,3-5-6-5-11-11-6-5-4
test,11-11-6-38-39-65-57-38-39-66
validation,14-1-3-5-6-4
validation,5-11-11-3-11-11-6-4
validation,5-11-11-11-11-6-57-65-38-39-38-38-39-38-38-39-38-38-39-66
train,5-6-5-3-6-4
test,5-11-11-6-3-4
train,11-6-5-11-11-3-11-4
train,11-6-65-57-38-39-38-38-39-38-38-39-38-38-39-38-38-39-38-38-39-38-38-39-38-38-39-38-38-39-38-38-39-38-38-39-38-38-39-38-38-39-38-38-39-38-38-39-38-38-39-66
test,38-57-38-39-38-39-38-38-39-38-38-39-38-38-39-38-38-39-38-38-39-38-38-39-38-38-39-38-38-39-38-38-39-38-38-39-38-38-39-38-38-39-38-38-39-38-39-38-38-39-38-38-39-38-38-39-38-38-39-38-38-39-38-38-39-38-39-65-57-66
test,7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-14-5-6-5-6-5-6-3-4
train,14-1-1-5-3-11-11-11-11-6-4
validation,5-11-11-11-11-6-38-57-38-38-39-57-65-38-39-38-38-39-38-38-39-38-38-39-38-38-39-38-38-39-38-38-39-38-38-39-38-38-39-38-38-39-38-38-39-38-38-39-38-38-39-38-38-39-38-38-39-38-38-39-38-38-39-38-38-39-38-38-39-66
train,38-57-38-39-38-39-38-38-39-38-38-39-38-38-39-57-65-66
test,1-1-65-57-38-39-66
train,38-57-38-39-57-65-66
validation,38-57-38-39-38-38-57-38-39-7-7-7-7-22-22-22-22-22-22-22-22-22-22-7-7-7-7-7-7-7-22-7-7-7-7-7-7-22-72-7-59-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-5-11-3-4
train,11-6-5-11-3-11-6-4
train,14-1-1-5-6-5-6-3-5-11-11-6-4
train,5-11-11-3-11-11-6-4
train,38-57-38-39-65-57-38-39-38-39-38-38-39-38-38-39-66
train,38-57-38-39-38-39-38-38-39-38-38-39-38-38-39-38-38-39-38-38-39-65-57-66
train,14-1-1-5-3-11-11-11-11-6-4
train,5-11-11-11-11-6-5-6-5-6-5-3-6-5-11-11-6-4
train,5-11-11-11-3-11-6-4
train,27-65-57-38-39-38-38-39-38-38-39-38-38-39-38-38-39-38-38-39-66
train,38-57-38-39-38-39-38-38-39-38-38-39-38-38-39-38-38-39-65-57-38-39-66
test,1-1-5-3-6-4
train,5-3-6-5-6-4
train,27-5-6-5-3-6-4
train,14-5-6-3-4
train,36-5-3-6-27-5-27-27-27-6-4
validation,14-5-3-6-4
train,14-5-3-6-5-6-5-6-4
train,1-1-1-1-1-3-5-6-4
train,24-25-24-25-3-5-6-4
train,65-57-38-39-38-38-39-38-39-38-38-39-38-38-39-38-38-39-38-38-39-38-38-39-38-38-39-38-38-39-38-38-39-38-38-39-38-38-39-38-38-39-38-38-39-38-38-39-38-38-39-38-38-39-38-38-39-38-38-39-38-38-39-38-38-39-38-38-39-38-38-39-66
test,38-57-38-39-38-39-38-38-39-38-38-39-38-38-39-38-38-39-38-38-39-38-38-39-38-38-39-38-38-39-57-65-38-39-66
test,14-1-1-5-3-27-6-4
test,5-3-4
test,6-5-3-6-4
train,65-57-38-39-38-38-39-38-39-38-38-39-38-38-39-38-38-39-38-38-39-38-38-39-38-38-39-38-38-39-66
test,38-57-38-39-65-57-66
train,14-1-1-3-5-6-4
validation,5-6-57-65-38-39-38-38-39-38-38-39-38-39-38-38-39-38-38-39-38-38-39-38-38-39-38-38-39-38-38-39-38-38-39-38-38-39-66
test,38-57-38-39-38-39-38-38-39-38-39-57-65-66
train,5-6-1-1-5-3-11-11-27-11-11-6-4
train,14-3-5-11-11-4
test,3-6-4
train,5-3-11-11-4
validation,6-5-11-3-11-11-11-4
train,6-5-3-11-11-6-5-11-11-11-11-6-4
train,5-3-6-5-6-4
validation,27-27-38-57-38-38-39-65-57-38-39-38-38-39-38-38-39-38-38-39-38-38-39-38-38-39-66
train,38-57-38-39-38-39-38-38-39-38-38-39-38-38-39-38-38-39-65-57-66
train,1-1-14-3-5-11-11-6-4
validation,5-11-11-11-11-6-27-3-27-27-27-27-4
train,27-5-6-5-6-3-4
train,65-57-38-39-38-38-39-38-38-39-38-38-39-38-38-39-66
train,38-57-38-39-38-39-38-38-39-65-38-39-66
train,38-39-38-38-39-38-38-39-38-38-39-38-38-39-38-38-39-38-38-39-38-38-39-22-22-14-42-42-5-11-11-11-11-6-5-6-5-3-6-4
train,5-3-11-11-6-4
test,3-5-6-4
train,3-4
train,3-4
train,3-4
validation,3-4
validation,3-4
train,3-4
train,5-6-3-4
train,1-1-5-6-3-5-6-4
train,3-5-4
validation,6-3-4
train,3-5-4
train,6-5-6-3-5-6-4
train,3-5-6-4
train,65-57-38-39-38-38-39-38-38-39-38-38-39-66
train,1-1-57-65-66
validation,57-65-57-66
train,1-1-1-3-4
train,3-9-27-9-28-9-27-27-9-27-27-9-27-27-27-9-16-28-4
train,3-4
validation,3-4
train,65-57-66
train,57-65-57-66
train,1-1-57-65-66
train,57-57-65-66
train,3-4
train,57-1-57-65-66
validation,57-57-65-66
train,7-23-40-40-41-1-7-7-7-1-7-7-7-7-1-23-1-1-40-40-41-1-3-1-1-4
train,3-4
train,3-4
train,3-4
train,3-4
train,3-4
train,3-4
train,3-4
test,3-4
train,15-3-4
train,3-36-4
validation,3-4
train,15-3-4
train,57-65-66
validation,3-4
train,22-7-22-72-72-23-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-3-4
train,57-65-66
train,73-57-65-66
train,57-65-66
train,1-57-65-66
train,57-57-65-66
test,1-1-3-4
train,57-65-66
train,57-57-65-66
train,1-57-65-66
train,57-57-65-66
validation,1-57-65-66
train,57-65-57-66
train,1-1-65-57-66
train,57-57-65-66
train,1-1-57-65-66
train,57-57-65-66
train,1-3-4
train,9-3-4
validation,3-4
train,3-4
train,1-57-65-66
test,57-65-57-66
test,1-1-3-4
train,3-4
test,3-4
train,3-4
train,3-4
train,3-4
test,3-4
train,3-4
train,3-4
train,3-4
train,3-4
train,65-57-66
train,57-57-65-66
train,57-3-4
train,3-4
validation,1-1-1-3-4
train,3-4
train,3-4
train,3-4
train,3-4
train,3-4
train,3-4
train,57-65-66
train,57-57-65-66
test,1-1-3-4
validation,57-65-66
train,57-57-65-66
train,1-1-1-57-65-66
train,57-65-57-66
train,1-1-1-3-4
train,3-4
train,3-4
train,3-4
test,3-4
train,3-4
train,1-1-1-3-4
train,3-4
train,3-4
validation,3-4
train,3-4
train,3-4
train,1-65-57-66
train,57-57-65-66
train,1-1-3-4
train,3-4
train,3-4
train,3-4
train,3-4
train,65-57-66
test,1-1-1-1-57-65-66
train,57-65-57-66
train,1-1-1-1-8-8-3-4
test,12-12-12-12-3-5-4
train,11-11-11-11-6-3-4
train,5-3-6-4
test,5-11-11-11-11-6-5-11-11-6-3-5-11-11-6-4
train,8-8-3-4
train,5-6-3-8-4
train,8-8-3-8-4
test,3-4
test,3-4
train,3-4
train,5-11-11-6-3-5-11-11-6-4
train,3-4
train,5-11-3-11-6-4
test,14-57-65-38-39-38-38-39-38-39-38-38-39-38-38-39-66
train,38-57-38-39-57-65-66
train,1-1-1-57-65-38-39-66
train,38-57-38-39-57-65-66
train,1-1-1-1-1-38-39-65-57-38-39-38-38-39-66
validation,38-39-57-38-57-38-39-65-57-66
validation,1-61-1-1-1-61-61-1-1-1-1-61-61-1-1-1-1-1-1-1-1-1-65-57-66
validation,57-65-38-39-38-38-39-38-38-39-38-38-39-38-38-39-38-38-39-66
train,38-39-38-38-39-1-1-57-65-38-39-38-38-39-38-38-39-38-39-38-38-39-66
train,38-57-38-39-57-65-66
train,1-1-14-3-5-11-11-11-11-6-5-11-11-6-4
validation,8-8-8-8-8-8-3-4
train,3-4
train,8-8-3-8-8-4
train,28-43-3-4
train,3-4
train,3-4
validation,3-4
train,3-4
train,5-11-11-6-3-5-6-5-11-11-11-11-6-5-11-11-6-4
train,57-65-38-39-38-39-38-39-38-38-39-38-38-39-66
train,38-57-38-39-65-57-66
validation,14-1-1-8-8-8-8-3-5-6-4
train,14-3-5-11-11-6-5-11-11-11-11-6-4
train,14-3-5-11-11-11-11-11-4
train,11-11-11-6-8-5-11-11-11-11-6-8-5-6-3-5-11-11-6-8-4
test,8-3-4
train,3-5-11-11-6-5-11-11-4
train,11-11-11-11-11-11-6-3-5-11-11-11-11-6-4
train,5-11-11-11-3-11-11-11-11-11-11-11-4
train,11-11-6-5-6-5-11-3-11-11-11-11-11-6-5-11-11-6-5-11-11-6-4
train,57-65-38-39-38-38-39-38-38-39-38-38-39-38-38-39-38-38-39-38-38-39-38-38-39-38-38-39-38-38-39-66
test,38-57-38-39-65-57-66
train,1-1-1-57-65-38-39-38-38-39-38-38-39-38-38-39-38-38-39-38-38-39-66
train,38-57-38-39-38-39-57-65-66
train,1-1-57-65-38-39-38-38-39-38-38-39-38-38-39-38-38-39-38-38-39-38-38-39-66
validation,38-57-38-39-57-65-66
train,14-1-1-5-3-11-11-4
train,6-5-11-11-11-11-11-11-6-8-8-3-4
train,5-3-11-11-11-11-6-4
train,5-11-11-6-3-4
train,1-1-14-5-3-11-11-6-4
train,57-65-38-39-38-38-39-66
validation,38-57-38-39-57-65-66
validation,1-1-57-65-66
train,57-57-65-66
train,1-1-3-35-43-4
train,65-57-66
train,57-57-65-66
train,1-1-57-65-66
train,57-57-65-66
train,1-1-65-57-66
train,57-57-65-66
train,36-1-1-57-65-66
train,57-57-65-66
train,1-1-1-65-57-66
train,57-65-57-66
test,51-51-51-51-1-51-51-51-51-3-4
validation,3-5-6-5-6-4
train,45-46
train,51-51-51-51-51-51-51-45-51-46
validation,45-51-51-51-51-9-9-9-46
train,1-1-1-1-1-1-1-65-57-38-39-38-38-39-66
train,38-57-38-39-38-39-38-38-39-57-65-66
