type,sequence
train,22-40-40-41-22-22-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-3-5-6-4
train,3-4
train,3-4
test,3-4
test,15-3-4
validation,3-4
train,3-4
train,3-4
train,3-4
train,3-4
validation,3-4
train,3-5-6-4
train,5-3-4
validation,17-18
train,6-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-22-22-40-40-41-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-3-4
train,5-3-6-4
train,3-4
train,3-4
train,15-22-40-40-41-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-3-4
train,3-4
train,3-4
train,3-5-4
train,17-18
train,6-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-3-5-4
train,17-18
train,6-5-6-3-5-6-4
train,3-5-6-4
validation,5-3-6-4
train,3-4
train,3-4
validation,0-2-5-3-6-5-6-4
train,17-5-6-18
validation,1-1-1-22-22-1-40-40-41-22-1-7-7-7-7-7-7-7-1-7-7-7-7-1-7-7-7-7-7-7-7-1-7-7-1-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-1-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-44-44-8-8-44-44-8-8-8-44-8-8-44-44-8-44-44-44-1-1-1-8-8-5-6-3-5-6-5-6-5-36-6-4
train,3-4
train,3-4
train,3-4
train,5-3-6-4
train,34-28-29-3-5-6-4
train,3-4
train,3-4
validation,15-40-40-41-22-22-22-22-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-22-22-40-40-41-22-22-22-22-22-22-7-7-7-7-7-3-4
train,3-4
train,3-5-6-4
train,29-3-4
train,17-5-6-18
train,7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-23-22-7-7-7-7-40-40-41-22-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-5-3-6-4
train,3-5-6-4
test,3-4
train,3-4
test,3-4
test,3-4
train,15-3-4
train,3-4
train,3-4
train,3-4
train,3-4
train,3-4
train,3-4
train,3-4
test,3-4
train,5-3-6-4
train,5-3-4
train,17-6-18
train,7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-3-5-6-5-6-5-6-4
train,3-4
train,3-4
train,15-3-4
train,3-4
train,3-4
validation,3-5-6-4
train,5-6-3-5-4
train,17-6-18
train,22-22-3-5-6-4
train,3-5-6-4
train,3-4
train,6-1-3-5-6-4
train,17-5-6-18
train,7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-8-8-3-5-6-4
validation,17-8-8-5-6-18
train,22-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-23-3-5-6-5-6-5-6-4
train,3-4
train,3-4
test,3-4
train,3-4
train,5-3-6-5-6-4
train,3-4
test,3-4
train,3-4
validation,3-5-6-4
train,3-4
train,3-5-6-4
train,3-4
train,5-3-6-4
test,5-3-6-4
train,5-3-6-4
train,3-5-6-4
train,3-5-36-6-4
train,3-4
train,3-4
train,3-4
train,3-4
train,3-4
train,3-4
train,3-4
validation,3-4
train,3-5-6-4
test,27-27-9-9-9-5-3-6-4
test,3-4
train,5-3-6-4
train,9-9-27-27-17-5-18
train,6-7-7-7-7-7-7-3-4
test,3-5-6-4
test,3-36-5-6-4
train,3-4
test,3-4
train,15-3-4
test,5-3-6-4
validation,3-4
train,5-3-6-4
train,3-4
test,3-4
train,3-5-4
train,3-4
train,17-6-18
train,3-4
train,5-3-6-5-6-4
train,3-4
train,3-4
train,3-4
train,3-4
train,22-22-22-22-22-22-3-4
train,3-4
train,3-4
train,3-4
train,5-3-6-4
train,3-4
train,3-4
train,3-4
train,5-3-6-4
train,3-4
train,17-5-18
test,6-3-5-6-4
train,22-22-40-40-41-22-3-5-6-5-6-4
train,3-4
test,15-3-4
test,5-3-6-4
train,3-4
train,5-3-6-4
test,3-4
train,17-5-6-18
train,3-5-6-4
train,5-6-8-8-5-3-6-4
train,5-3-6-5-6-4
train,1-1-1-3-5-6-4
train,35-43-28-3-4
train,17-18
train,17-18
test,0-24-25-2-0-2-24-25-0-2-3-4
train,17-18
test,0-2-0-2-0-2-3-0-2-4
train,17-18
train,1-1-17-18
train,3-4
train,40-40-41-22-7-7-7-23-3-36-4
train,3-4
train,5-3-4
train,6-3-4
validation,22-40-40-41-7-7-7-23-13-23-13-3-4
train,5-6-5-3-6-5-6-5-6-5-6-1-1-1-1-4
train,1-1-45-5-6-46
train,17-18
train,17-18
train,47-47-3-4
train,45-46
test,45-46
train,17-5-6-5-6-18
test,5-6-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-40-40-41-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-40-40-41-7-5-3-4
train,6-5-45-6-5-6-5-6-46
train,5-6-5-45-6-5-6-46
train,45-5-46
validation,6-5-6-5-45-6-5-46
train,45-6-5-46
train,6-17-5-18
train,6-5-6-5-6-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-5-6-5-6-5-6-45-5-6-46
validation,1-1-1-3-5-6-4
